"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(x)","좌표정보(y)","문화체육업종명","문화사업자구분명","지역구분명","총층수","주변환경명","제작취급품목내용","보험기관명","건물용도명","지상층수","지하층수","객실수","건축연면적","영문상호명","영문상호주소","선박총톤수","선박척수","선박제원","무대면적","좌석수","기념품종류","회의실별동시수용인원","시설면적","놀이기구수내역","놀이시설수","방송시설유무","발전시설유무","의무실유무","안내소유무","기획여행보험시작일자","기획여행보험종료일자","자본금","보험시작일자","보험종료일자","부대시설내역","시설규모",
"371","관광펜션업","03_11_02_P","4700000","CDFI3261092014000002","20140321","","01","영업/정상","13","영업중","","","","","063-625-4051","","590852","전라북도 남원시 산내면 덕동리 328-4번지","전라북도 남원시 산내면 산내달궁길 10","55805","지리산대호관광펜션","20190826133243","U","2019-08-28 02:40:00.0","","250159.887105","205781.636549","관광펜션업","","자연녹지지역","2","기타","","7실","기타","2","","","","","","","","","","","","","275.7","","","","","","","","","","","","","276",
"372","관광펜션업","03_11_02_P","4700000","CDFI3261092014000003","20140331","","01","영업/정상","13","영업중","","","","","063-625-3484","","590852","전라북도 남원시 산내면 덕동리 336-3번지","전라북도 남원시 산내면 지리산로 297","55805","덕동관광펜션농원","20190826133338","U","2019-08-28 02:40:00.0","","250182.897641","205743.265805","관광펜션업","","보전녹지지역","3","기타","","4실","","2","1","","","","","","","","","","","","191.18","","","","","","","","","","","","","191",
"373","관광펜션업","03_11_02_P","4700000","CDFI3261092014000004","20140425","","01","영업/정상","13","영업중","","","","","063-625-1555","","590812","전라북도 남원시 주천면 호기리 241-3번지","전라북도 남원시 주천면 원천로 345-34","55802","지리산프리방스","20150810133241","I","2018-08-31 23:59:59.0","","238975.150921","211386.391268","관광펜션업","","","3","기타","","9실","","3","1","","","","","","","","","","","","1542","","","","","","","","","1960000000","","","","1542",
"374","관광펜션업","03_11_02_P","4740000","CDFI3261092011000005","20110428","","01","영업/정상","13","영업중","","","","","322-3425","","568811","전라북도 무주군 설천면 심곡리 668번지","전라북도 무주군 설천면 내배방길 9","","우리두리모텔","20110428113232","I","2018-08-31 23:59:59.0","","268268.157964","268174.63881","관광펜션업","","자연녹지지역","3","","","","숙박시설","3","","","","","","","","","","","","","751.47","","","","","","","","","","","","","751",
"375","관광펜션업","03_11_02_P","4740000","CDFI3261092012000001","20120627","","01","영업/정상","13","영업중","","","","","(063)322-3074","","568814","전라북도 무주군 설천면 삼공리 524-8번지","전라북도 무주군 설천면 구천동1로 144","55557","덕유산펜션","20200615163352","U","2020-06-17 02:40:00.0","","269962.059388","266810.049981","관광펜션업","","관리지역","3","","","","숙박시설","2","1","","","Deogyusan Pension","Tourist pension business","","","","","","","","385.02","","","","","","","","","","","","","385",
"376","관광펜션업","03_11_02_P","4670000","CDFI3261092018000001","20180123","","01","영업/정상","13","영업중","","","","","","","","전라북도 군산시 옥도면 대장도리 12 ,대장도리 10","전라북도 군산시 옥도면 장자도2길 55-10, 장자도2길 55-16","54000","섬마을풍경 관광펜션","20210324140029","U","2021-03-26 02:40:00.0","","145350.273161","257436.221621","관광펜션업","","","2","","","","단독주택","2","","","","","","","","","","","","","428.5","","","","","","","","","100000000","","","","429",
"377","관광펜션업","03_11_02_P","4790000","CDFI3261092012000001","20120921","","01","영업/정상","13","영업중","","","","","","","579851","전라북도 부안군 변산면 격포리 643-8번지","전라북도 부안군 변산면 궁항영상길 72-9","56340","소리섬 펜션","20150723095114","I","2018-08-31 23:59:59.0","","151627.727457","234484.626794","관광펜션업","","","2","","","","숙박시설","2","0","","","","","","","","","","","","","","","","","","","","","","","","","",
"378","관광펜션업","03_11_02_P","4790000","CDFI3261092012000002","20121018","","01","영업/정상","13","영업중","","","","","","","579892","전라북도 부안군 진서면 운호리 155-10번지","전라북도 부안군 진서면 구름호수길 52","56341","생폴드방스 펜션","20181210172302","U","2018-12-12 02:40:00.0","","159809.670642","232990.031126","관광펜션업","","관리지역","2","기타","","","단독주택","2","","","","","","","","","","","","","188.39","","","","","","","","","","","","","188",
"379","관광펜션업","03_11_02_P","4790000","CDFI3261092015000001","20150630","","01","영업/정상","13","영업중","","","","","","","","전라북도 부안군 변산면 격포리 652-8","전라북도 부안군 변산면 격포로 453-8 (453-10)","56340","더웨스트 변산리조트","20210707112626","U","2021-07-09 02:40:00.0","","153269","234131","관광펜션업","","관리지역","3","","","","숙박시설","","","","","","","","","","","","","","611.25","","","","","","","","","","","","","611",
"380","관광펜션업","03_11_02_P","4790000","CDFI3261092017000001","20170630","","01","영업/정상","13","영업중","","","","","","","","전라북도 부안군 변산면 도청리 152-2번지","전라북도 부안군 변산면 변산로 3583","56340","한솔펜션","20170630085750","I","2018-08-31 23:59:59.0","","155315.76923","231747.145952","관광펜션업","","","2","","","","단독주택","2","","","","","","","","","","","","","134.08","","","","","","","","","","","","","134",
"381","관광펜션업","03_11_02_P","4790000","CDFI3261092017000002","20170630","","01","영업/정상","13","영업중","","","","","","","","전라북도 부안군 변산면 도청리 110번지","전라북도 부안군 변산면 변산해변로 146-5 (해변파크)","56338","힐링의 바다","20170630173417","I","2018-08-31 23:59:59.0","","155675.068861","231770.229413","관광펜션업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"382","관광펜션업","03_11_02_P","4790000","CDFI3261092017000003","20170703","","01","영업/정상","13","영업중","","","","","583-0709","","","전라북도 부안군 변산면 격포리 110번지","전라북도 부안군 변산면 변산해변로 146-5","56338","힐링의 바다","20170703173226","I","2018-08-31 23:59:59.0","","151446.386261","237675.764794","관광펜션업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"383","관광펜션업","03_11_02_P","4790000","CDFI3261092017000004","20170703","","01","영업/정상","13","영업중","","","","","","","","전라북도 부안군 변산면 도청리 152-2번지","전라북도 부안군 변산면 변산로 3583","56340","한솔펜션","20170703173247","I","2018-08-31 23:59:59.0","","155315.76923","231747.145952","관광펜션업","","","","","","","단독주택","2","","","","","","","","","","","","","134.08","","","","","","","","","","","","","134",
"384","관광펜션업","03_11_02_P","4740000","CDFI3261092013000001","20130722","","01","영업/정상","13","영업중","","","","","","","","전라북도 무주군 설천면 삼공리 348-10","전라북도 무주군 설천면 원삼공1길 22","55557","무주모모펜션","20220110132356","U","2022-01-12 02:40:00.0","","270507.737401","267818.216402","관광펜션업","","","2","","","","","2","","","","","","","","","","","","","","","","","","","","","","50000000","","","","",
"385","관광펜션업","03_11_02_P","4740000","CDFI3261092014000002","20141208","","01","영업/정상","13","영업중","","","","","","","568811","전라북도 무주군 설천면 심곡리 463-1번지","전라북도 무주군 설천면 구천동로 1048-21","55555","그안","20200327173459","U","2020-03-29 02:40:00.0","","268829.669736","267738.133506","관광펜션업","","관리지역","2","기타","","","단독주택","2","0","","","GEUAN","Tourist pension business","","","","","","","","224.08","","","","","","","","","100000000","","","","224",
"386","관광펜션업","03_11_02_P","4740000","CDFI3261092016000001","20160107","","01","영업/정상","13","영업중","","","","","","","","전라북도 무주군 설천면 심곡리 624-6번지","전라북도 무주군 설천면 외배방길 22","55555","다다펜션","20160107143314","I","2018-08-31 23:59:59.0","","268340.664802","267919.566169","관광펜션업","","관리지역","3","","","","숙박시설","3","","","","","","","","","","","","","393.36","","","","","","","","","","","","","393",
"387","관광펜션업","03_11_02_P","4740000","CDFI3261092018000001","20180313","","01","영업/정상","13","영업중","","","","","","","","전라북도 무주군 설천면 삼공리 282번지 9동","전라북도 무주군 설천면 원삼공2길 25","55557","서림연가","20180313133358","I","2018-08-31 23:59:59.0","","270436.574376","267901.640776","관광펜션업","","","1","기타","","","숙박시설","1","0","","","","","","","","","","","","347.09","","","","","","","","","","","","","347",
"388","관광펜션업","03_11_02_P","4740000","CDFI3261092005000001","20051104","","01","영업/정상","13","영업중","","","","","322-8338","","568823","전라북도 무주군 무풍면 삼거리 137-1번지","전라북도 무주군 무풍면 구천동로 289-55","55563","펜션무주네버랜드","20200320102433","U","2020-03-22 02:40:00.0","","274246.19294600000","264704.52472900000","관광펜션업","관광사업","관리지역","2","기타","","","숙박시설","2","","","","MUJU NEVERLAND","Tourist pension business","","","","","","","","388.92","","","","","","","","","54000000","","","","389",
"389","관광펜션업","03_11_02_P","4740000","CDFI3261092005000002","20050224","","01","영업/정상","13","영업중","","","","","063-322-9999","","568814","전라북도 무주군 설천면 삼공리 820-5","전라북도 무주군 설천면 구천동로 962","","구름채","20210427134219","U","2021-04-29 02:40:00.0","","269484.316119","267637.72709","관광펜션업","","자연녹지지역","2","기타","","","숙박시설","2","","","","","","","","","","","","","244.25","","","","","","","","","","","","","244",
"390","관광펜션업","03_11_02_P","4740000","CDFI3261092008000001","20080527","","01","영업/정상","13","영업중","","","","","322-5088","","568814","전라북도 무주군 설천면 삼공리 734번지","전라북도 무주군 설천면 구천동로 930-8","568814","리틀프로방스","20170413083503","I","2018-08-31 23:59:59.0","","269754.652257","267841.994767","관광펜션업","","자연녹지지역","2","기타","","","숙박시설","2","","","","Little provence","Tourist pension business","","","","","","","","519","","","","","","","","","","","","","519",
"391","관광펜션업","03_11_02_P","4740000","CDFI3261092009000001","20091102","","01","영업/정상","13","영업중","","","","","063-324-0873","","568811","전라북도 무주군 설천면 심곡리 646번지","전라북도 무주군 설천면 만선로 34-1","","리틀프린스","20091102175506","I","2018-08-31 23:59:59.0","","268145.329028","268057.425095","관광펜션업","","자연녹지지역","3","기타","","","숙박시설","3","","","","","","","","","","","","","697.11","","","","","","","","","","","","","697",
"392","관광펜션업","03_11_02_P","4740000","CDFI3261092009000002","20090602","","01","영업/정상","13","영업중","","","","","322-0558","","568814","전라북도 무주군 설천면 삼공리 377-1번지","전라북도 무주군 설천면 삼공2길 4","","설인펜션","20091207111130","I","2018-08-31 23:59:59.0","","270283.057658","267526.725748","관광펜션업","","자연녹지지역","2","기타","","","숙박시설","2","","","","","","","","","","","","","299.82","","","","","","","","","","","","","300",
"393","관광펜션업","03_11_02_P","4740000","CDFI3261092010000001","20100330","","01","영업/정상","13","영업중","","","","","322-3759","","568811","전라북도 무주군 설천면 심곡리 738-7번지","전라북도 무주군 설천면 내배방길 22","","눈꽃여행","20141216153051","I","2018-08-31 23:59:59.0","","268235.264851","268290.487535","관광펜션업","","보전녹지지역","3","기타","","","숙박시설","3","","","","SNOW FLOWER","Tourist pension business","","","","","","","","575.16","","","","","","","","","500000000","","","","575",
"394","관광펜션업","03_11_02_P","4740000","CDFI3261092010000002","20100330","","01","영업/정상","13","영업중","","","","","322-5277","","568811","전라북도 무주군 설천면 심곡리 698번지","전라북도 무주군 설천면 내배방길 27-1","55555","마법의 성","20190311133057","U","2019-03-13 02:40:00.0","","268143.948194","268317.288164","관광펜션업","","자연녹지지역","2","기타","","","숙박시설","2","","","","MAGIC CASTLE","Tourist pension business","","","","","","","","366","","","","","","","","","400000000","","","","366",
"395","관광펜션업","03_11_02_P","4740000","CDFI3261092011000001","20110418","","01","영업/정상","13","영업중","","","","","322-8100","","568811","전라북도 무주군 설천면 심곡리 615-1번지","전라북도 무주군 설천면 외배방길 21","","한마음콘도","20141216153236","I","2018-08-31 23:59:59.0","","268316.151206","267892.360394","관광펜션업","","자연녹지지역","3","","","","숙박시설","3","","","","","","","","","","","","","487.12","","","","","","","","","7","","","","487",
"396","관광펜션업","03_11_02_P","4740000","CDFI3261092011000002","20110419","","01","영업/정상","13","영업중","","","","","322-6678","","568811","전라북도 무주군 설천면 심곡리 576-2번지","전라북도 무주군 설천면 만선로 36-37","","스노우밸리펜션","20141216153641","I","2018-08-31 23:59:59.0","","268041.796799","267918.720304","관광펜션업","","자연녹지지역","3","","","","숙박시설","","","","","SNOW VALLEY","Tourist pension business","","","","","","","","1270.27","","","","","","","","","","","","","1270",
"397","관광펜션업","03_11_02_P","4740000","CDFI3261092011000004","20110428","","01","영업/정상","13","영업중","","","","","","","","전라북도 무주군 설천면 심곡리 668-1","전라북도 무주군 설천면 내배방길 9-1","55555","소풍펜션","20201110094739","U","2020-11-12 02:40:00.0","","268257.820969","268155.132207","관광펜션업","","자연녹지지역","3","","","","숙박시설","3","","","","SOPOONG PENSION","Tourist pension business","","","","","","","","705.6","","","","","","","","","","","","","706",
"398","관광펜션업","03_11_02_P","4740000","CDFI3261092016000002","20160114","","01","영업/정상","13","영업중","","","","","063-324-7691","","","전라북도 무주군 적상면 괴목리 591-1번지","전라북도 무주군 적상면 치마재로 505","55530","여행가방펜션","20160114134256","I","2018-08-31 23:59:59.0","","264905.123896","270026.565399","관광펜션업","","관리지역","3","","","","다가구용 주택(공동주택적용)","2","1","","","","","","","","","","","","227.93","","","","","","","","","","","","","228",
"399","관광펜션업","03_11_02_P","4060000","CDFI3261092009000001","20090907","","01","영업/정상","13","영업중","","","","","031-958-0029","","413876","경기도 파주시 법원읍 법원리 140-2번지","경기도 파주시 법원읍 초리골길 280","10826","초호쉼터","20200318165251","U","2020-03-20 02:40:00.0","","190840.122750537","483817.273730371","관광펜션업","","관리지역","","","","","숙박시설","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"400","관광펜션업","03_11_02_P","4050000","CDFI3261092018000001","20180123","","01","영업/정상","13","영업중","","","","","","","","경기도 용인시 처인구 포곡읍 전대리 191-33번지","경기도 용인시 처인구 포곡읍 전대로78번길 14-7","17023","에버오렌지펜션","20180214135813","I","2018-08-31 23:59:59.0","","219265.3251168","420491.763034873","관광펜션업","","전용주거지역","","주택가주변","","2층 4객실","단독주택","","","","","","","","","","","","","","227.85","","","","","","","","","","","","","228",
"401","관광펜션업","03_11_02_P","5600000","CDFI3261092006000001","20061220","","01","영업/정상","13","영업중","","","","","031-536-0303","","487851","경기도 포천시 일동면 기산리 23-31번지","경기도 포천시 일동면 운악청계로1480번길 16","","하늘가람관광펜션","20190528165714","U","2019-05-30 02:40:00.0","","229760.397735889","492848.517005201","관광펜션업","관광사업","관리지역","2","기타","","","단독주택","2","","","","SKY GARAM TOURISM PENSION","TOURISM PENSION","","","","","","","","141.88","","","","","","","","","","","","","142",
"402","관광펜션업","03_11_02_P","5600000","CDFI3261092012000001","20120613","","01","영업/정상","13","영업중","","","","","031-534-7474","","487851","경기도 포천시 일동면 기산리 695번지","경기도 포천시 일동면 화동로857번길 5-40","11119","하늘짚펜션","20170705155920","I","2018-08-31 23:59:59.0","","226914.513134288","493151.329154963","관광펜션업","","관리지역","2","기타","","","숙박시설","2","","","","THE GARDEN HOUSE","TOURISM PENSION","","","","","","","","652.83","","","","","","","","","","","","","653",
"403","관광펜션업","03_11_02_P","5600000","CDFI3261092012000002","20120705","","01","영업/정상","13","영업중","","","","","031-535-6494","","487912","경기도 포천시 신북면 삼정리 517-2번지","경기도 포천시 신북면 청신로947번길 35","11137","허브힐링관광펜션","20120705111104","I","2018-08-31 23:59:59.0","","211501.230277291","495861.162165225","관광펜션업","","관리지역","2","기타","","","숙박시설","2","","","","","","","","","","","","","221.02","","","","","","","","","50000000","","","","221",
"404","관광펜션업","03_11_02_P","5600000","CDFI3261092014000001","20140523","","01","영업/정상","13","영업중","","","","","1661-5510","","487873","경기도 포천시 군내면 상성북리 350-37번지","경기도 포천시 군내면 반월산성로371번길 86-65","11152","포천 구들찜가마","20140523101745","I","2018-08-31 23:59:59.0","","220901.827874378","487341.669136057","관광펜션업","","관리지역","1","기타","","","근린생활시설","1","","","","Pocheon Guddle JJim gama","Tourism Pension","","","","","","","","588.2","","","","","","","","","2000000000","","","","588",
"405","관광펜션업","03_11_02_P","5600000","CDFI3261092017000001","20170616","","01","영업/정상","13","영업중","","","","","","","","경기도 포천시 소흘읍 고모리 719-3번지","경기도 포천시 소흘읍 죽엽산로 490","11185","관광 꿈꾸는숲 펜션","20170927164852","I","2018-08-31 23:59:59.0","","214455.892441526","476469.181569921","관광펜션업","","","2","","","","","","","","","","","","","","","","","","148.44","","","","","","","","","","","","","148",
"406","관광펜션업","03_11_02_P","4170000","CDFI3261092004000001","20041029","","01","영업/정상","13","영업중","","","","","031-774-3000","","476808","경기도 양평군 양평읍 백안리 17-2번지","경기도 양평군 양평읍 삼산길 130-13","12547","양평밸리","20140129133221","I","2018-08-31 23:59:59.0","","246555.314265912","445347.636034301","관광펜션업","","근린상업지역","1","기타","","","숙박시설","1","","","","","","","","","","","","","763.7","","","","","","","","","","","","","764",
"407","관광펜션업","03_11_02_P","4170000","CDFI3261092016000001","20160420","","01","영업/정상","13","영업중","","","","","031-773-0737","","","경기도 양평군 강상면 병산리 881-2","경기도 양평군 강상면 백병길 117","12571","도반","20210317171427","U","2021-03-19 02:40:00.0","","239496.520871521","442709.846463993","관광펜션업","","관리지역","1","기타","","","단독주택","1","1","","","","","","","","","","","","194.92","","","","","","","","","","","","","195",
"408","관광펜션업","03_11_02_P","4170000","CDFI3261092009000001","20091224","","01","영업/정상","13","영업중","","","","","031-775-2175","","476801","경기도 양평군 양평읍 백안리 30번지","경기도 양평군 양평읍 백안3리길 90-12","","코리아 뮤직파크","20200528093821","U","2020-05-30 02:40:00.0","","246362.572773879","445173.836987371","관광펜션업","","관리지역","1","주택가주변","","","숙박시설","1","","","","","","","","","","","","","232.74","","","","","","","","","","","","","233",
"409","관광펜션업","03_11_02_P","4170000","CDFI3261092010000001","20100604","","01","영업/정상","13","영업중","","","","","031-774-4264","","476852","경기도 양평군 단월면 산음리 859-1","경기도 양평군 단월면 고북길 245","","아띠울(Attiwool)펜션","20200626150651","U","2020-06-28 02:40:00.0","","251726.120989786","454455.235475758","관광펜션업","","","2","","","","숙박시설","2","","","","","","","","","","","","","228.82","","","","","","","","","","","","","229",
"410","관광펜션업","03_11_02_P","5590000","CDFI3261092011000001","20110118","","01","영업/정상","13","영업중","","","","","031-855-6122","","482812","경기도 양주시 장흥면 석현리 359-3","경기도 양주시 장흥면 권율로309번길 99","11519","레마르크","20210105125434","U","2021-01-07 02:40:00.0","","195816.905008388","471111.956094237","관광펜션업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"411","관광펜션업","03_11_02_P","5590000","CDFI3261092011000002","20110427","","01","영업/정상","13","영업중","","","","","829-3226","","482812","경기도 양주시 장흥면 석현리 360-19","경기도 양주시 장흥면 권율로309번길 67-22","11519","그레이캐슬","20210913135317","U","2021-09-15 02:40:00.0","","195654.828442105","471048.886966034","관광펜션업","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"412","관광펜션업","03_11_02_P","5370000","CDFI3261092019000003","20190531","","01","영업/정상","13","영업중","","","","","","","","경상남도 거제시 사등면 창호리 1065번지","경상남도 거제시 사등면 가조로 917","53273","지평집","20190531094842","I","2019-06-02 02:21:00.0","","339018.413106123","164999.702551879","관광펜션업","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"413","관광펜션업","03_11_02_P","5330000","CDFI3261092019000003","20190607","","01","영업/정상","13","영업중","","","","","","","","경상남도 통영시 산양읍 풍화리 756번지","경상남도 통영시 산양읍 풍화일주로 430","53080","돌고래펜션민박","20190607160520","I","2019-06-09 02:21:07.0","","323959.004318311","148139.994339572","관광펜션업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"414","관광펜션업","03_11_02_P","4180000","CDFI3261092019000001","20190710","","01","영업/정상","13","영업중","","","","","","","","강원도 춘천시 남산면 방곡리 252-3","강원도 춘천시 남산면 풀무골1길 22-1","24465","아이플러스 펜션","20210615160617","U","2021-06-17 02:40:00.0","","256495.346131876","477300.944013325","관광펜션업","","자연녹지지역","4","","","","단독주택","3","1","","","","","","","","","","","","259.93","","","","","","","","","","","","","260",
"415","관광펜션업","03_11_02_P","4510000","CDFI3261092019000004","20190729","","01","영업/정상","13","영업중","","","","","","","","충청남도 보령시 신흑동 2261-5번지","충청남도 보령시 해수욕장9길 17 (신흑동)","33489","달팽이펜션","20190729163035","I","2019-07-31 02:21:51.0","","","","관광펜션업","","관리지역","3","기타","","","숙박시설","3","","","","Dalpaengi Pension","Tourism Pension","","","","","","","","369","","","","","","","","","","","","","369",
"416","관광펜션업","03_11_02_P","4510000","CDFI3261092019000006","20190906","","01","영업/정상","13","영업중","","","","","","","","충청남도 보령시 신흑동 2303-5번지","충청남도 보령시 고잠2길 16-16 (신흑동)","33488","대천뜨란체펜션","20190906131020","I","2019-09-08 02:22:22.0","","156510.259644","312452.506812","관광펜션업","","관리지역","3","기타","","","숙박시설","3","","","","Daecheonttranche Pension","Tourism Pension","","","","","","","","393.32","","","","","","","","","","","","","393",
"417","관광펜션업","03_11_02_P","5450000","CDFI3261092019000001","20190902","","01","영업/정상","13","영업중","","","","","","","","경상남도 산청군 삼장면 내원리 46-2번지","경상남도 산청군 삼장면 대하내원로 451","52235","별빛펜션","20191001112909","U","2019-10-03 02:40:00.0","","","","관광펜션업","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"418","관광펜션업","03_11_02_P","4510000","CDFI3261092019000005","20190806","","01","영업/정상","13","영업중","","","","","","","","충청남도 보령시 신흑동 2260-3번지","충청남도 보령시 해수욕장9길 9 (신흑동)","33489","디어펜션","20190806140926","I","2019-08-08 02:21:56.0","","156013.630333","312933.790526","관광펜션업","","관리지역","3","기타","","","숙박시설","3","","","","Dear Pension","Tourism Pension","","","","","","","","390.42","","","","","","","","","","","","","390",
"419","관광펜션업","03_11_02_P","5020000","CDFI3261092019000002","20190806","","01","영업/정상","13","영업중","","","","","","","","경상북도 포항시 남구 장기면 대진리 191번지","경상북도 포항시 남구 장기면 동해안로 3952-42","37943","190워터프런트","20200120210453","U","2020-01-22 02:40:00.0","","427141.56660302","272516.855107772","관광펜션업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"420","관광펜션업","03_11_02_P","4620000","CDFI3261092019000001","20190725","","01","영업/정상","13","영업중","","","","","","","","충청남도 태안군 원북면 방갈리 515-78번지","충청남도 태안군 원북면 학암포길 21-37","32105","별빛바다","20190725125623","I","2019-07-27 02:21:47.0","","129336.663664","377667.932424","관광펜션업","","","2","","","","","2","0","","","","","","","","","","","","1211.43","","","","","","","","","","","","","1211",
"421","관광펜션업","03_11_02_P","5330000","CDFI3261092019000004","20190709","","01","영업/정상","13","영업중","","","","","","","","경상남도 통영시 도산면 저산리 668번지","경상남도 통영시 도산면 저산유촌길 38","53004","해지음","20190709164258","I","2019-07-11 02:21:33.0","","319300.437849225","157145.429893226","관광펜션업","","","","","","","","2","1","","","","","","","","","","","","","","","","","","","","","130000000","","","","",
"422","관광펜션업","03_11_02_P","5370000","CDFI3261092019000004","20190819","","01","영업/정상","13","영업중","","","","","","","","경상남도 거제시 하청면 어온리 13","경상남도 거제시 하청면 칠천로 971-12","53203","에코풀하우스","20210514133430","U","2021-05-16 02:40:00.0","","350765.380623819","169326.673924621","관광펜션업","","","3","","","","단독주택","3","","","","","","","","","","","","","","","","","","","","","","","","","","",
"423","관광펜션업","03_11_02_P","4510000","CDFI3261092019000002","20190705","","01","영업/정상","13","영업중","","","","","","","","충청남도 보령시 신흑동 2306-6번지","충청남도 보령시 고잠2길 4-35 (신흑동)","33488","이글스파크펜션","20190705141819","I","2019-07-07 02:21:30.0","","156639.846059","312421.026408","관광펜션업","","관리지역","3","기타","","","숙박시설","3","0","","","Eaglespark Pension","Tourism Pension","","","","","","","","496.3","","","","","","","","","","","","","496",
"424","관광펜션업","03_11_02_P","4510000","CDFI3261092019000003","20190705","","01","영업/정상","13","영업중","","","","","","","","충청남도 보령시 신흑동 2306-2","충청남도 보령시 고잠2길 8-24 (신흑동)","33488","하루펜션","20201222155814","U","2020-12-24 02:40:00.0","","156588.809126","312404.362663","관광펜션업","","관리지역","3","기타","","","숙박시설","3","0","","","Haru Pension","Tourism Pension","","","","","","","","359.52","","","","","","","","","","","","","360",
"425","관광펜션업","03_11_02_P","4260000","CDFI3261092006000003","20061017","","01","영업/정상","13","영업중","","","","","","","225862","강원도 횡성군 서원면 석화리 232","강원도 횡성군 서원면 월송석화로 98-33","","변경 전 : 오크파인트리펜션 변경 후 : 펜션 별을 쏘다.","20201208142637","U","2020-12-10 02:40:00.0","","271565.882564155","439012.939283043","관광펜션업","관광사업","관리지역","2","기타","","","단독주택","2","","","","","","","","","","","","","149.22","","","","","","","","","270000000","","","","149",
"426","관광펜션업","03_11_02_P","4260000","CDFI3261092008000001","20080128","","01","영업/정상","13","영업중","","","","","","","","강원도 횡성군 둔내면 삽교리 795번지","강원도 횡성군 둔내면 용현로 466-12","25261","별무리관광펜션","20180118221051","I","2018-08-31 23:59:59.0","","311013.663921439","449207.234207226","관광펜션업","관광사업","관리지역","1","기타","","","단독주택","1","","","","","","","","","","","","","300.08","","","","","","","","","","","","","300",
"427","관광펜션업","03_11_02_P","4860000","CDFI3261092014000001","20140826","","01","영업/정상","13","영업중","","","","","","","","전라남도 곡성군 죽곡면 용정리 219번지","전라남도 곡성군 죽곡면 대황강로 1397-45","57550","좋은세상리조트","20190418181126","U","2019-04-20 02:40:00.0","","232461.066737","187189.013358","관광펜션업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","200000000","","","","",
"428","관광펜션업","03_11_02_P","4840000","CDFI3261092014000001","20140813","","01","영업/정상","13","영업중","","","","","763-4182","","545821","전라남도 광양시 옥룡면 동곡리 631번지","전라남도 광양시 옥룡면 묵방길 30-25","57703","백운펜션","20171027142558","I","2018-08-31 23:59:59.0","","254802.172732","175506.941419","관광펜션업","","관리지역","1","","","","단독주택","1","","","","Baegun Pension","Tourism Pension","","","","","","","","1566","","","","","","","","","4000000000","","","","1566",
"429","관광펜션업","03_11_02_P","4840000","CDFI3261092017000001","20170914","","01","영업/정상","13","영업중","","","","","","","","전라남도 광양시 옥룡면 동곡리 1233-2번지","전라남도 광양시 옥룡면 신재로 1457","57703","주식회사 필관광하우스","20190110103735","U","2019-01-12 02:40:00.0","","255120.8567","175632.621199","관광펜션업","","관리지역","4","","","","숙박시설","3","1","","","","","","","","","","","","935.22","","","","","","","","","","","","","935",
"430","관광펜션업","03_11_02_P","4830000","CDFI3261092016000001","20160725","","01","영업/정상","13","영업중","","","","","061-337-0114","","","전라남도 나주시 남평읍 교원리 464-4","전라남도 나주시 남평읍 방축2길 26-26 (숲속의산책팬션)","58228","숲속의 산책","20210308140429","U","2021-03-10 02:40:00.0","","184985.620987","170381.415629","관광펜션업","","관리지역","1","기타","","","숙박시설","1","0","","","","","","","","","","","","370","","","","","","","","","","","","","370",
"431","관광펜션업","03_11_02_P","4970000","CDFI3261092014000001","20140819","","01","영업/정상","13","영업중","","","","","","","513893","전라남도 영광군 낙월면 송이리 산 270번지","전라남도 영광군 낙월면 송이길 47-10","57068","송이도친환경가족펜션","20200115105944","U","2020-01-17 02:40:00.0","","122581.310891","197757.841042","관광펜션업","","일반주거지역","1","기타","","","숙박시설","1","0","","","","","","","","","","","","561.04","","","","","","","","","400000000","","","","561",
"432","관광펜션업","03_11_02_P","4970000","CDFI3261092016000001","20160523","","01","영업/정상","13","영업중","","","","","061-353-4476","","","전라남도 영광군 불갑면 모악리 359번지","전라남도 영광군 불갑면 자비길 51-38","57058","영광힐링컨벤션타운","20190110161855","U","2019-01-12 02:40:00.0","","157813.249833","189404.461858","관광펜션업","","관리지역","2","기타","","","숙박시설","2","0","","","Healing Convention Town","Tourism pension","","","","","","","","2996","","","","","","","","","","","","","2996",
